State,City,pop,crime
ARKANSAS,Vilonia,"4,656",3
ARKANSAS,Waldron,"3,354",10
ARKANSAS,Ward,"7,108",20
ARKANSAS,Warren,"5,141",13
ARKANSAS,West Fork,"2,362",1
ARKANSAS,West Memphis,"23,617",454
ARKANSAS,White Hall,"5,398",15
ARKANSAS,Wynne,"7,919",81
CALIFORNIA,Adelanto,"38,210",216
CALIFORNIA,Agoura Hills,"19,229",24
CALIFORNIA,Alameda,"74,458",236
CALIFORNIA,Albany,"18,735",26
CALIFORNIA,Alhambra,"78,840",177
CALIFORNIA,Aliso Viejo,"49,674",67
CALIFORNIA,Alturas,"2,640",39
CALIFORNIA,American Canyon,"21,199",69
CALIFORNIA,Anaheim,"338,488","2,018"
CALIFORNIA,Anderson,"11,170",94
CALIFORNIA,Angels Camp,"3,781",24
CALIFORNIA,Antioch,"117,675",714
CALIFORNIA,Apple Valley,"74,764",386
CALIFORNIA,Arcadia,"53,397",123
CALIFORNIA,Arcata,"19,107",97
CALIFORNIA,Arroyo Grande,"18,179",36
CALIFORNIA,Artesia,"15,358",73
CALIFORNIA,Atascadero,"29,685",53
CALIFORNIA,Atherton,"6,711",7
CALIFORNIA,Atwater,"32,093",228
CALIFORNIA,Auburn,"13,618",52
CALIFORNIA,Avalon,"3,203",16
CALIFORNIA,Avenal,"14,303",67
CALIFORNIA,Azusa,"47,647",129
CALIFORNIA,Bakersfield,"416,120","2,308"
CALIFORNIA,Baldwin Park,"67,791",274
CALIFORNIA,Banning,"32,325",151
CALIFORNIA,Barstow,"24,817",275
CALIFORNIA,Bear Valley,"5,467",9
CALIFORNIA,Beaumont,"60,294",123
CALIFORNIA,Bell,"31,353",183
CALIFORNIA,Bellflower,"73,883",453
CALIFORNIA,Bell Gardens,"36,850",143
CALIFORNIA,Belmont,"26,099",43
CALIFORNIA,Belvedere,"2,025",0
CALIFORNIA,Benicia,"26,207",35
CALIFORNIA,Berkeley,"117,400",750
CALIFORNIA,Beverly Hills,"30,457",156
CALIFORNIA,Big Bear ,"4,994",79
CALIFORNIA,Bishop,"3,715",34
CALIFORNIA,Blythe,"18,064",73
CALIFORNIA,Bradbury,882,1
CALIFORNIA,Brawley,"28,311",84
CALIFORNIA,Brea,"48,901",103
CALIFORNIA,Brentwood,"65,352",158
CALIFORNIA,Brisbane,"4,493",18
CALIFORNIA,Broadmoor,"4,413",5
CALIFORNIA,Buellton,"4,935",12
CALIFORNIA,Buena Park,"81,334",203
CALIFORNIA,Burbank,"101,377",396
CALIFORNIA,Burlingame,"29,471",54
CALIFORNIA,Calabasas,"21,897",35
CALIFORNIA,Calexico,"38,106",56
CALIFORNIA,California City,"13,418",79
CALIFORNIA,Calimesa,"11,503",13
CALIFORNIA,Calipatria,"6,020",4
CALIFORNIA,Calistoga,"5,005",15
CALIFORNIA,Camarillo,"69,115",89
CALIFORNIA,Campbell,"41,029",201
CALIFORNIA,Canyon Lake,"11,100",5
CALIFORNIA,Capitola,"9,459",23
CALIFORNIA,Carlsbad,"113,023",225
CALIFORNIA,Carmel,"3,070",4
CALIFORNIA,Carpinteria,"12,692",24
CALIFORNIA,Carson,"89,767",377
CALIFORNIA,Cathedral City,"52,602",149
CALIFORNIA,Central Marin,"34,703",43
CALIFORNIA,Ceres,"48,107",191
CALIFORNIA,Cerritos,"45,961",161
CALIFORNIA,Chico,"100,831",705
CALIFORNIA,Chino,"93,818",281
CALIFORNIA,Chino Hills,"76,802",106
CALIFORNIA,Chowchilla,"19,504",132
CALIFORNIA,Chula Vista,"273,843","1,029"
CALIFORNIA,Citrus Heights,"85,809",377
CALIFORNIA,Claremont,"35,139",176
CALIFORNIA,Clayton,"10,655",9
CALIFORNIA,Clearlake,"16,410",136
CALIFORNIA,Cloverdale,"8,763",30
CALIFORNIA,Clovis,"127,560",312
CALIFORNIA,Coachella,"44,131",132
CALIFORNIA,Coalinga,"17,290",85
CALIFORNIA,Colma,"1,378",22
CALIFORNIA,Colton,"53,153",209
CALIFORNIA,Colusa,"6,566",29
CALIFORNIA,Commerce,"11,464",166
CALIFORNIA,Compton,"89,564","1,139"
CALIFORNIA,Concord,"121,341",588
CALIFORNIA,Corcoran,"21,831",114
CALIFORNIA,Corning,"8,020",76
CALIFORNIA,Corona,"161,174",402
CALIFORNIA,Coronado,"18,545",64
CALIFORNIA,Costa Mesa,"107,235",791
CALIFORNIA,Cotati,"7,377",15
CALIFORNIA,Covina,"47,940",169
CALIFORNIA,Crescent City,"5,339",74
CALIFORNIA,Cudahy,"21,401",140
CALIFORNIA,Culver City,"38,514",257
CALIFORNIA,Cupertino,"56,375",63
CALIFORNIA,Cypress,"48,367",138
CALIFORNIA,Daly City,"98,217",291
CALIFORNIA,Dana Point,"32,405",60
CALIFORNIA,Danville,"42,814",27
CALIFORNIA,Davis,"65,483",122
CALIFORNIA,Delano,"52,061",179
CALIFORNIA,Del Mar,"3,841",5
CALIFORNIA,Del Rey Oaks,"1,537",3
CALIFORNIA,Desert Hot Springs,"33,749",166
CALIFORNIA,Diamond Bar,"51,126",40
CALIFORNIA,Dinuba,"26,230",152
CALIFORNIA,Dixon,"19,402",55
CALIFORNIA,Dorris,823,4
CALIFORNIA,Dos Palos,"5,683",42
CALIFORNIA,Duarte,"23,654",59
CALIFORNIA,Dublin,"68,099",105
CALIFORNIA,Dunsmuir,"1,623",12
CALIFORNIA,East Palo Alto,"27,663",168
CALIFORNIA,Eastvale,"70,669",66
CALIFORNIA,El Cajon,"101,983",443
CALIFORNIA,El Centro,"43,550",143
CALIFORNIA,El Cerrito,"25,424",122
CALIFORNIA,Elk Grove,"179,074",340
CALIFORNIA,El Monte,"102,088",432
CALIFORNIA,El Segundo,"16,196",83
CALIFORNIA,Emeryville,"12,671",156
CALIFORNIA,Encinitas,"60,461",130
CALIFORNIA,Escalon,"7,317",30
CALIFORNIA,Escondido,"147,170",638
CALIFORNIA,Etna,646,4
CALIFORNIA,Eureka,"25,485",259
CALIFORNIA,Exeter,"10,167",32
CALIFORNIA,Fairfax,"7,362",8
CALIFORNIA,Fairfield,"121,082",603
CALIFORNIA,Farmersville,"10,192",50
CALIFORNIA,Ferndale,"1,386",5
CALIFORNIA,Fillmore,"17,428",33
CALIFORNIA,Firebaugh,"8,698",20
CALIFORNIA,Folsom,"86,152",158
CALIFORNIA,Fontana,"217,605",588
CALIFORNIA,Fort Bragg,"6,901",48
CALIFORNIA,Fort Jones,665,1
CALIFORNIA,Fortuna,"12,216",37
